Name,Type,ReqProg,ReqNet,ReqDes,ReqAna,ReqComm,ReqSec,WtML,WtWeb,WtData,WtCyber,WtCloud
Software Engineer,1,7.0,3.0,3.0,4.0,4.0,3.0,0.3,0.8,0.3,0.3,0.6
Full Stack Developer,1,7.0,4.0,5.0,4.0,4.0,4.0,0.2,1.5,0.5,0.4,0.8
Frontend Engineer,1,6.0,2.0,6.0,2.0,4.0,2.0,0.1,1.5,0.2,0.2,0.4
Backend Engineer,1,7.0,5.0,2.0,4.0,4.0,5.0,0.3,1.2,0.8,0.7,1.0
Mobile App Developer,1,6.5,2.0,6.0,2.0,4.0,3.0,0.3,0.7,0.3,0.3,0.5
Game Developer,1,7.5,3.0,6.5,4.0,4.0,2.0,0.5,0.2,0.2,0.1,0.3
Systems Programmer,1,8.0,5.0,2.0,4.0,4.0,5.0,0.2,0.1,0.2,0.8,0.7
Embedded Systems & IoT Engineer,1,7.0,6.0,2.0,3.0,3.0,5.0,0.4,0.2,0.3,0.7,0.8
QA & Test Automation Engineer,1,5.0,3.0,3.0,4.0,5.0,3.0,0.2,0.8,0.4,0.5,0.6
Blockchain Developer,1,7.5,5.0,2.0,4.0,4.0,7.0,0.2,0.6,0.4,1.2,0.6
AI / Machine Learning Engineer,2,7.5,2.0,2.0,8.0,4.0,2.0,1.5,0.2,1.2,0.1,0.6
Data Scientist,2,6.0,2.0,3.0,8.0,5.0,2.0,1.3,0.1,1.5,0.1,0.5
Data Engineer,2,7.0,4.0,2.0,7.5,4.0,3.0,0.5,0.4,1.5,0.3,1.2
Computer Vision Specialist,2,7.5,2.0,2.0,8.0,4.0,2.0,1.5,0.1,1.0,0.1,0.4
Business Intelligence Analyst,2,4.0,2.0,4.0,7.0,6.0,2.0,0.5,0.3,1.4,0.1,0.4
Database Administrator (DBA),2,4.0,5.0,2.0,7.0,4.0,6.0,0.2,0.4,1.2,0.8,0.9
Cybersecurity Analyst / SOC,3,4.0,7.0,2.0,5.0,5.0,8.0,0.3,0.4,0.5,1.5,0.8
Penetration Tester / Ethical Hacker,3,6.0,7.5,2.0,4.0,4.0,8.5,0.2,0.7,0.3,1.5,0.7
Information Security Auditor,3,3.0,5.0,2.0,5.0,7.0,7.0,0.1,0.2,0.6,1.4,0.7
Cloud Solutions Architect,4,5.0,7.5,2.0,4.0,6.0,6.0,0.3,0.5,0.6,0.8,1.5
DevOps Engineer,4,6.0,7.0,2.0,4.0,4.0,5.5,0.1,0.8,0.3,0.6,1.4
Site Reliability Engineer (SRE),4,6.5,7.0,2.0,5.0,5.0,5.5,0.2,0.5,0.5,0.6,1.4
Network Infrastructure Engineer,3,3.0,8.0,2.0,3.0,4.0,6.0,0.1,0.2,0.2,1.1,1.0
UI/UX & Product Designer,5,2.0,2.0,8.5,4.0,6.5,2.0,0.1,1.0,0.4,0.0,0.2
Technical Product Manager,5,4.0,3.0,5.5,6.0,8.0,2.0,0.6,0.8,0.9,0.4,0.6
